Product Name,Category Name,Reference Part Number,Description,SKU,Stok per tgl 18 May 2025,Lokasi Stok,,Notes
First Product,Category Name,"ABC11,EFG22,HIJ33",Product Description,ABC,,,,pastikan masing2 nama produk unik (tidak ada persamaan dengan data lainnya)
AIR FILTER,,,-,-,,,,pastikan kategori barang ada di database
10088372,Air Filter,88290004-372,-,-,0,,,
10125710,Air Filter,6.2182.0 = C 25710,-,-,14,Jakarta,,
10130810,Air Filter,2914-5017-00 = 6.2185.0 = A11516974 = C 30810,-,-,5,"2pcs Jakarta, 3pcs Surabaya",,
100301353,Air Filter,C 301353,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
10015124/1,Air Filter,250023-939 = C 15124/1,-,-,0,,,
10015165/3,Air Filter,6.3545.0 = C 15165/3,-,-,3,Jakarta,,
10017225/3,Air Filter,1619-2797-00 = 6.1996.0 = 569000725 = C 17 225/3,-,-,4,"3pcs Jakarta, 1pcs Surabaya",,
10020325/2,Air Filter,1619-2847-00 = 6.1997.0 = C 20325/2,-,-,12,"9pcs Jakarta, 1pcs Surabaya, 2pcs Solo",,
10021138/1,Air Filter,C 21138/1,-,-,11,Jakarta,,
10023440/2,Air Filter,C 23440/2,-,-,0,,,
10023440/3,Air Filter,1619-2798-00 = C 23440/3,-,-,35,"28pcs Jakarta, 5pcs Surabaya, 2pcs Solo",,
10024650/1,Air Filter,1619-2799-00 = 6.1989.0 = C 24650/1,-,-,12,"9pcs Jakarta, 3pcs Surabaya",,
10025860/3,Air Filter,1613-9503-00 = C 25860/3,-,-,18,"7pcs Jakarta, 11pcs Surabaya",,
10027585/3,Air Filter,2900-0580-00 = 2900-0582-00 = C 27585/3,-,-,0,,,
10028352/1,Air Filter,93525350 = C 29352/1,-,-,0,,,
10030850/2,Air Filter,6.1995.0 = C 30850/2,-,-,0,,,
10033920/3,Air Filter,C 33920/3,-,-,6,,,
100354-FG6,Air Filter,1030-0979-00 = 1621-0547-00 = C 36840/1,-,-,58,"52pcs Jakarta, 6pcs Surabaya",,
10038-4TC,Air Filter,P3515A600-1 = AAP0540009-00089,-,-,141,"139pcs Jakarta, 2pcs Surabaya",,
1004/5-9C,Air Filter,P3515A600-2 = AAP0540009-0029,-,-,174,"169pcs Jakarta, 5pcs Surabaya",,
10040GN2G,Air Filter,P3515F800-1,-,-,21,,,
10048G,Air Filter,P3515F200-1,-,-,151,"150pcs Jakarta, 1pcs Surabaya",,
100770-4TC,Air Filter Primary,P1400009-0770,-,-,45,Jakarta,,
100771-9C,Air Filter Secondary,P14100009-0771,-,-,9,Jakarta,,
1009GS,Air Filter,AA905400009-00090,-,-,33,"31pcs Jakarta, 2pcs Surabaya",,
100DCY75A,Air Filter,A-A35-3211410079A,-,-,0,,,
100SAOF50A,Air Filter Small,100SAOF50A,-,-,0,,,
71.10114.3825.00,Air Filter,71.10114.3825.00,-,-,0,,,
71.10337.3801.02,Air Filter,71.10337.3801.00 = 71.10337.3801.02,-,-,0,,,
71.10341.3801.00,Air Filter,71.10341.3801.00 = 71.10341.3801.00,-,-,0,,,
71.1036.3801.00,Air Filter,71.1036.3801.00,-,-,0,,,
71.12708.3801.10,Air Filter,71.12708.380100 = 71.12708.3801.10,-,-,0,,,
C 42/2,Air Filter,C 42,-,-,16,Jakarta,,
C 46,Air Filter,C 46,-,-,16,Jakarta,,
C 75,Air Filter,C 75,-,-,10,Jakarta,,
C 79/1,Air Filter,C 79/1,-,-,6,Jakarta,,
CF 1600,Air Filter,92053179 CF 1600,-,-,3,Jakarta,,
CF 30810,Air Filter,2914501800 = 89288989 = CF 810,-,-,0,,,
PS-CE03-516,Air Filter,PS-CE03-516,-,-,1,Jakarta,,
108DN50,Air Filter = Filter Insert Gas,DN 50 (Djarum),-,-,1,Jakarta,,
108DN80,Air Filter = Filter Insert Gas,DN 80 (Djarum),-,-,1,Jakarta,,
108DN100,Air Filter = Filter Insert Gas,DN 100 (Djarum),-,-,1,Jakarta,,
,,,,,,,,
OIL SEPARATOR,,,-,-,,,,
300085,Oil Separator,2250034-085,-,-,1,Jakarta,,
300116,Oil Separator Primary,250034-116,-,-,9,"9pcs Jakarta, 4pcs Surabaya",,
300122,Oil Separator Primary,250034-122,-,-,1,Jakarta,,
300124,Oil Separator 300124,250034-124 = 250034-123,-,-,5,Jakarta,,
300134,Oil Separator,250034-134,-,-,1,Jakarta,,
300160,Oil Separator,MLS-1830152121 (tinggi 160mm),-,-,0,,,
300755,Oil Separator,02250100-755 =  DC 3290,-,-,7,"6pcs Jakarta, 1pcs Surabaya",,
300756,Oil Separator,02250100-756 = DC 3291,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
300808,Oil Separator,2250047-808,-,-,4,"2pcs Jakarta, 2 pcs Surabaya",,
300862,Oil Separator Secondary,250042-862,-,-,15,"9pcs Jakarta, 6pcs Surabaya ",,
303118,Oil Separator,250034-118,-,-,0,,,
303130,Oil Separator,250034-130 = 250034-129 = DB 3139,-,-,1,Jakarta,,
303319,Oil Separator,2250109-319,-,-,0,,,
303321,Oil Separator,2250109-321,-,-,0,,,
304112,Oil Separator,250034-112,-,-,1,Jakarta,,
306595,Oil Separator,P-CE03-595,-,-,0,,,
306596,Oil Separator,P-CE03-596,-,-,0,,,
3001084,Oil Separator,1614-5329-00,-,-,2,Jakarta,,
3001238,Oil Separator,731400,-,-,39,Jakarta,,
3001239,Oil Separator,731401,-,-,10,Jakarta,,
3001482,Oil Separator,3001482 = tinggi 14cm. diamater body 8cm. diameter dratt 2cm (for OSC 3 T Surabaya),-,-,4,Jakarta,,
3001534,Oil Separator,3001534 = 202 ECH 6013,-,-,4,"3pcs Jakarta, 1pcs Surabaya",,
3001828,Oil Separator,1625182867,-,-,0,,,
3002013,Oil Separator,98262.77,-,-,3,Jakarta,,
3002018,Oil Separator,83603496 = 2255300511,-,-,4,Jakarta,,
3002023,Oil Separator,575000204,-,-,7,"4pcs Jakarta, 3pcs Surabaya",,
3002026,Oil Separator,98262-26,-,-,4,Jakarta,,
3002036,Oil Separator,93522902 = 93568301 = F 403351022 (eccoair),-,-,2,Jakarta,,
3002059,Oil Separator,93523215,-,-,5,Jakarta,,
3002062,Oil Separator,2205722478 = 98262-162,-,-,2,Jakarta,,
3002076,Oil Separator,39705728,-,-,3,Jakarta,,
3002090,Oil Separator,2205406514 = 575000209 = 93520807,-,-,3,Jakarta,,
3002098,Oil Separator,92754696 = DB 2098 = NS 009820,-,-,8,Jakarta,,
3002115,Oil Separator,88200753 = DB 2115,-,-,3,Jakarta,,
3002124,Oil Separator,DB 2124 = 220413251,-,-,2,Jakarta,,
3002127,Oil Separator,DB 2127 = 98262-173 = MSB 1456-S,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
3002132,Oil Separator,92202224 = DB 2132 = 91111-005,-,-,2,Jakarta,,
3002134,Oil Separator,DB 2134 = 91111-003,-,-,25,"21pcs Jakarta, 4pcs Surabaya",,
3002185,Oil Separator,6.2134.0 = DB 2185,-,-,3,Jakarta,,
3002211,Oil Separator,22114040,-,-,0,,,
3002214,Oil Separator,DB 2214,-,-,4,Jakarta,,
3002216,Oil Separator,3983-1888 = DB 2216  = DB 2505,-,-,2,Jakarta,,
3002252,Oil Separator,39863840 = DB 2252 = DB 2098,-,-,7,Jakarta,,
3002373,Oil Separator,88226238 = DB 2373,-,-,0,,,
3002454,Oil Separator,DB 2454,-,-,1,Jakarta,,
3002544,Oil Separator,P-CE 03-517-03 = DB 2544,-,-,4,Jakarta,,
3002606,Oil Separator,2224-2606,-,-,0,,,
3002629,Oil Separator,731468-0000 = DB 2629,-,-,5,Jakarta,,
3002725,Oil Separator,DB 2725 = MSB 1533-S,-,-,4,Jakarta,,
3002750,Oil Separator,9272-2750 ,-,-,4,Jakarta,,
3002787,Oil Separator,4254-2787,-,-,0,,,
3003001,Oil Separator,1612-3869-00 = DC 3001 = 2901-0003-00,-,-,6,"3pcs Jakarta, 3pcs Surabaya",,
3003006,Oil Separator,3003006 = DC 3006,-,-,4,Jakarta,,
